Order ID,Product ID,Customer ID,Location ID,Sales,Quantity,Discount,Profit,Shipping Cost
CA-2012-124891,TEC-AC-10003033,RH-19495,1,2309.65,7,0.0,762.1845,933.57
IN-2013-77878,FUR-CH-10003950,JR-16210,2,3709.395,9,0.1,-288.765,923.63
IN-2013-71249,TEC-PH-10004664,CR-12730,3,5175.170999999999,9,0.1,919.971,915.49
ES-2013-1579342,TEC-PH-10004583,KM-16375,4,2892.51,5,0.1,-96.54,910.16
SG-2013-4320,TEC-SHA-10000501,RH-9495,5,2832.96,8,0.0,311.52,903.04
IN-2013-42360,TEC-PH-10000030,JM-15655,6,2862.675,5,0.1,763.275,897.35
IN-2011-81826,FUR-CH-10004050,TS-21340,7,1822.08,4,0.0,564.84,894.77
IN-2012-86369,FUR-TA-10002958,MB-18085,8,5244.84,6,0.0,996.48,878.38
CA-2014-135909,OFF-BI-10003527,JW-15220,9,5083.96,5,0.2,1906.485,867.69
CA-2012-116638,FUR-TA-10000198,JH-15985,10,4297.644,13,0.4,-1862.3124,865.74
CA-2011-102988,OFF-SU-10002881,GM-14695,11,4164.05,5,0.0,83.281,846.54
ID-2012-28402,FUR-TA-10001889,AJ-10780,12,4626.15,5,0.0,647.55,835.57
SA-2011-1830,TEC-CIS-10001717,MM-7260,13,2616.96,4,0.0,1151.4,832.41
MX-2012-130015,FUR-CH-10002033,VF-21715,14,2221.8,7,0.0,622.02,810.25
IN-2013-73951,OFF-AP-10003500,PF-19120,15,3701.52,12,0.0,1036.08,804.54
ES-2014-5099955,OFF-AP-10000423,BP-11185,16,1869.588,4,0.1,186.948,801.66
CA-2014-143567,TEC-AC-10004145,TB-21175,17,2249.91,9,0.0,517.4793,780.7
ES-2014-1651774,OFF-AP-10004512,PJ-18835,18,7958.58,14,0.0,3979.08,778.32
IN-2014-11763,TEC-CO-10000865,JS-15685,19,2565.594,9,0.1,28.404,766.93
TZ-2014-8190,OFF-KIT-10004058,RH-9555,20,3409.74,6,0.0,818.28,763.38
PL-2012-7820,FUR-HON-10000224,AB-600,21,1977.72,4,0.0,276.84,759.47
CA-2011-154627,TEC-PH-10001363,SA-20830,22,2735.952,6,0.2,341.994,752.51
IN-2011-44803,FUR-CH-10000027,JK-15325,23,2754.0,6,0.0,358.02,752.47
ES-2013-2860574,OFF-AP-10003590,LB-16795,24,5273.7,10,0.0,1898.4,730.91
US-2014-133193,TEC-PH-10004182,NP-18325,25,1713.84,4,0.0,445.52,728.97
MX-2014-165309,FUR-TA-10002827,VD-21670,26,2106.496,8,0.2,526.496,728.39
IN-2011-10286,FUR-TA-10004744,PB-19210,27,1715.16,2,0.0,720.36,725.57
ES-2011-4699764,OFF-AP-10004512,EB-14110,28,3069.738,6,0.1,1364.238,725.34
CA-2013-159016,TEC-PH-10002885,KF-16285,29,4158.912,8,0.2,363.9048,714.66
IN-2012-44810,FUR-CH-10001415,BP-11230,30,1878.72,4,0.0,582.36,704.08
US-2011-128776,TEC-PH-10002815,RR-19525,31,1696.64,5,0.2,-148.46,704.06
